,Temperature,Mean_CN,Std_CN,Min_CN,Max_CN,Median_CN,Mean_AtomicVolume,Std_AtomicVolume,Min_AtomicVolume,Max_AtomicVolume,Median_AtomicVolume,Mean_CavityRadius,Std_CavityRadius,Min_CavityRadius,Max_CavityRadius,Median_CavityRadius,Mean_Displacement,Std_Displacement,Min_Displacement,Max_Displacement,Median_Displacement,Mean_Temperature,Std_Temperature,Min_Temperature,Max_Temperature,First_Temperature,Last_Temperature,Delta_Temperature
Median_AtomicVolume,0.3071391108982123,-0.8838118811881188,-0.4504950495049505,-0.22114039549114067,-0.5774638144858079,-0.8212711825146,0.38605610561056103,-0.7051320132013201,0.023003300330033002,-0.33572607260726073,1.0,0.8551815181518152,-0.5552145214521452,0.30438943894389436,-0.594983498349835,0.9818646864686469,,,,,,0.5295396467587299,-0.0850539243867241,0.4318674246592463,0.5618276438472614,0.5011736082032249,0.4675450428980681,-0.33642196097966154
Mean_CavityRadius,0.22665612755263992,-0.5948184818481849,-0.2491089108910891,-0.045196577180671084,-0.5974949536442291,-0.539508228751806,0.7291584158415841,-0.5613201320132013,-0.15427392739273926,-0.5134488448844885,0.8551815181518152,1.0,-0.18683168316831683,0.3755280528052805,-0.41661716171617164,0.8086303630363036,,,,,,0.284447770008544,-0.015562567179069947,0.2071297693176162,0.3625245180129188,0.26401006588916465,0.2791612805746363,-0.17022331032114665
Std_CavityRadius,-0.277553465930058,0.7656600660066006,0.4633993399339934,0.43663121883469747,0.34508400986375243,0.6787218112739126,0.2959405940594059,0.576023102310231,-0.13437293729372937,-0.13486798679867987,-0.5552145214521452,-0.18683168316831683,1.0,-0.06777227722772278,0.6754620462046205,-0.5967491749174918,,,,,,-0.7018082759248205,0.10026185966929166,-0.6411167381024698,-0.6647863553806526,-0.6457851217940147,-0.5831550411578469,0.38122104148666097
Min_CavityRadius,0.04688572550038016,-0.30995049504950495,-0.16103960396039604,0.08716482741986567,-0.07073641252695369,-0.20403907661986068,0.2855445544554455,-0.02684818481848185,-0.08272277227722773,-0.009735973597359737,0.30438943894389436,0.3755280528052805,-0.06777227722772278,1.0,-0.15966996699669966,0.27712871287128715,,,,,,0.1134987013875785,-0.26543785090533456,0.19277954838938,0.17466857990753706,0.23501846052871073,0.09742480449727255,-0.3594153034784676
Max_CavityRadius,-0.14040645069632562,0.5669801980198019,0.6122112211221122,0.6141892006159053,0.37245835084823053,0.5479588935055442,-0.11605610561056105,0.34295379537953796,-0.07853135313531354,-0.08848184818481848,-0.594983498349835,-0.41661716171617164,0.6754620462046205,-0.15966996699669966,1.0,-0.5584158415841585,,,,,,-0.8312241763879713,0.02209439187743953,-0.840584809004953,-0.7931960909281455,-0.8587422411918622,-0.6634173113150852,0.5503062308376372
Median_CavityRadius,0.2996173367537663,-0.8981188118811881,-0.38887788778877885,-0.25342366490590573,-0.5668208194341178,-0.845400054245668,0.3113201320132013,-0.7362376237623762,0.06445544554455446,-0.284009900990099,0.9818646864686469,0.8086303630363036,-0.5967491749174918,0.27712871287128715,-0.5584158415841585,1.0,,,,,,0.4952145780786614,-0.0929712876574751,0.39056517959682857,0.5242861463384503,0.4534537887937583,0.450935074536305,-0.2802086817573294
Mean_Displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Std_Displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min_Displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max_Displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median_Displacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean_Temperature,0.3006154139932852,-0.5957321026035711,-0.7041175068787896,-0.6292512408961898,-0.3031708254269275,-0.45513805138401936,-0.0726418080091405,-0.4160244508643373,0.17007485975982006,-0.017814067359189768,0.5295396467587299,0.284447770008544,-0.7018082759248205,0.1134987013875785,-0.8312241763879713,0.4952145780786614,,,,,,1.0,-0.004327933720786447,0.9267466303944603,0.9633156094142863,0.9090137521862748,0.8854292898066857,-0.43128477803882775
