Composition,Temperature,Stage,Delta_Temperature,First_Temperature,Last_Temperature,Max_AtomicVolume,Max_CN,Max_CavityRadius,Max_Displacement,Max_Temperature,Mean_AtomicVolume,Mean_CN,Mean_CavityRadius,Mean_Displacement,Mean_Temperature,Median_AtomicVolume,Median_CN,Median_CavityRadius,Median_Displacement,Min_AtomicVolume,Min_CN,Min_CavityRadius,Min_Displacement,Min_Temperature,Std_AtomicVolume,Std_CN,Std_CavityRadius,Std_Displacement,Std_Temperature
5050,200,equilibrium,123.57499999999999,178.231,301.806,2922.58,24.0,30.46,0.0,308.46,37.52112197622049,13.518284993694829,3.569698453431814,0.0,276.768515,10.49175,14.0,2.34313,0.0,2.10642,3.0,1.45265,0.0,178.231,146.94638951533193,3.2537324564755887,3.86405010735081,0.0,37.98302919494303
5050,200,bed,31.555000000000007,302.466,334.021,2766.72,24.0,25.6269,0.0,334.988,37.52112134119979,12.306971716807782,3.769001420464782,0.0,315.92312333333336,12.3107,12.0,2.7641400000000003,0.0,2.28311,2.0,1.47107,0.0,297.17,127.77060530260859,3.1517463610963654,3.1759871164862106,0.0,10.003918915790011
5050,200,laser,134.12100000000004,335.006,469.127,3305.17,23.0,22.4344,0.0,469.127,37.521119337957124,12.443883984867592,3.7634378085029723,0.0,399.7884025,11.980699999999999,12.0,2.704805,0.0,2.33716,1.0,1.42869,0.0,333.013,131.90095699042945,3.153442213680948,3.0948384768259856,0.0,40.17407637896297
5050,200,hold,1.5389999999999873,467.523,469.062,4983.57,24.0,20.0171,0.0,481.636,37.52112219239777,12.46261934786525,3.767590325166637,0.0,473.28628125,11.803249999999998,12.0,2.62143,0.0,2.19959,1.0,1.45335,0.0,465.007,131.10219524203464,3.1510052477975927,3.090815666354908,0.0,2.803635983961121
5050,200,cooling,-135.04200000000003,472.535,337.493,2657.67,25.0,23.1778,0.0,474.351,37.52112118357053,12.724013691226807,3.689745200864709,0.0,406.8532124999999,11.329799999999999,13.0,2.53455,0.0,2.23525,1.0,1.41792,0.0,336.717,131.96791460014546,3.1009844679944916,3.255023338292442,0.0,40.04299153791594
5050,250,equilibrium,123.57499999999999,178.231,301.806,2922.58,24.0,30.46,0.0,308.46,37.52112197622049,13.518284993694829,3.569698453431814,0.0,276.768515,10.49175,14.0,2.34313,0.0,2.10642,3.0,1.45265,0.0,178.231,146.94638951533193,3.2537324564755887,3.86405010735081,0.0,37.98302919494303
5050,250,bed,31.555000000000007,302.466,334.021,2766.72,24.0,25.6269,0.0,334.988,37.52112134119979,12.306971716807782,3.769001420464782,0.0,315.92312333333336,12.3107,12.0,2.7641400000000003,0.0,2.28311,2.0,1.47107,0.0,297.17,127.77060530260859,3.1517463610963654,3.1759871164862106,0.0,10.003918915790011
5050,250,laser,180.88,335.006,515.886,3305.17,23.0,22.4344,0.0,517.787,37.521119337957124,12.443883984867592,3.7634378085029723,0.0,423.4436524999999,11.980699999999999,12.0,2.704805,0.0,2.33716,1.0,1.42869,0.0,333.085,131.90095699042945,3.153442213680948,3.0948384768259856,0.0,54.85429363657564
5050,250,hold,11.158999999999992,515.606,526.765,2627.94,24.0,21.3353,0.0,530.514,37.52112179066835,12.343181408755179,3.7913310691767244,0.0,522.74240375,12.07715,12.0,2.68209,0.0,2.44734,2.0,1.44984,0.0,511.847,123.21417627013214,3.1169221887167184,3.117664369052171,0.0,3.2947706213855574
5050,250,cooling,-188.58899999999994,526.031,337.442,2886.79,24.0,20.7728,0.0,528.001,37.52111814537921,12.476670870113493,3.7576134921635744,0.0,433.538925,11.87945,12.0,2.606055,0.0,2.2968,1.0,1.44071,0.0,337.442,122.97130709679243,3.092447855774834,3.126368433887078,0.0,54.94487715618851
5050,300,equilibrium,123.57499999999999,178.231,301.806,2922.58,24.0,30.46,0.0,308.46,37.52112197622049,13.518284993694829,3.569698453431814,0.0,276.768515,10.49175,14.0,2.34313,0.0,2.10642,3.0,1.45265,0.0,178.231,146.94638951533193,3.2537324564755887,3.86405010735081,0.0,37.98302919494303
5050,300,bed,31.555000000000007,302.466,334.021,2766.72,24.0,25.6269,0.0,334.988,37.52112134119979,12.306971716807782,3.769001420464782,0.0,315.92312333333336,12.3107,12.0,2.7641400000000003,0.0,2.28311,2.0,1.47107,0.0,297.17,127.77060530260859,3.1517463610963654,3.1759871164862106,0.0,10.003918915790011
5050,300,laser,225.74800000000005,335.006,560.754,3305.17,23.0,22.4344,0.0,571.101,37.521119337957124,12.443883984867592,3.7634378085029723,0.0,447.13121249999995,11.980699999999999,12.0,2.704805,0.0,2.33716,1.0,1.42869,0.0,333.157,131.90095699042945,3.153442213680948,3.0948384768259856,0.0,69.71896037033358
5050,300,hold,8.009000000000015,566.384,574.393,4245.18,24.0,20.2506,0.0,586.893,37.52112261124122,12.218158890290038,3.8215656341199784,0.0,573.6001025,12.38175,12.0,2.7891500000000002,0.0,2.35418,1.0,1.45608,0.0,564.622,121.56977898137531,3.13595517516079,3.001527724092558,0.0,3.6603742023350767
