Temperature,Stage,Position,CoordAvg,VolAvg,CavAvg,DispAvg,Composition
350,hold,End,12.01549270401729,37.52112302558098,3.854196727616645,9.646273875607998,5050
350,cooling,Start,12.01549270401729,37.5211229093857,3.854196707800396,0.0,5050
350,cooling,Middle,12.22194199243379,37.52112327418483,3.845556314177625,3.513940999819853,5050
350,cooling,End,12.6411457395064,37.52112397586021,3.791554032606737,4.718867044406414,5050
100,equilibrium,Start,13.36983090574251,34.59006362715554,3.451756130085384,0.0,6040
100,equilibrium,Middle,12.44583961158547,34.5900673396953,3.590853072995145,3.167508290306379,6040
100,equilibrium,End,12.33149171270718,34.59006533400301,3.637194795747531,5.012269127657794,6040
100,bed,Start,12.33149171270718,34.59006540013393,3.637194804955634,0.0,6040
100,bed,Middle,12.50527373179307,34.59006516323456,3.613693903398627,3.012659023237904,6040
100,bed,End,12.62765779340365,34.59006304118534,3.547480325632011,4.305631993554329,6040
100,laser,Start,12.62765779340365,34.59006302109493,3.547480327306211,0.0,6040
100,laser,Middle,12.81232211618952,34.59006398627156,3.524293782856186,2.651010643545957,6040
100,laser,End,12.85417713042022,34.59006479323623,3.500638932697137,3.541828895889837,6040
100,hold,Start,12.85417713042022,34.59006476644901,3.50063897120375,0.0,6040
100,hold,Middle,13.01004520341537,34.59006682404152,3.439559220659635,2.824101520391763,6040
100,hold,End,13.02511300853842,34.59006424242424,3.43477626653273,3.483098159157877,6040
100,cooling,Start,13.02511300853842,34.59006421647414,3.434776259835929,0.0,6040
100,cooling,Middle,13.22635191695965,34.59006107902227,3.413412062615101,1.961513173756906,6040
100,cooling,End,13.25933366817345,34.59006399631676,3.420779750544115,2.507643946894358,6040
150,equilibrium,Start,13.36983090574251,34.59006362715554,3.451756130085384,0.0,6040
150,equilibrium,Middle,12.44583961158547,34.5900673396953,3.590853072995145,3.167508290306379,6040
150,equilibrium,End,12.33149171270718,34.59006533400301,3.637194795747531,5.012269127657794,6040
150,bed,Start,12.33149171270718,34.59006540013393,3.637194804955634,0.0,6040
150,bed,Middle,12.50527373179307,34.59006516323456,3.613693903398627,3.012659023237904,6040
150,bed,End,12.62765779340365,34.59006304118534,3.547480325632011,4.305631993554329,6040
150,laser,Start,12.62765779340365,34.59006302109493,3.547480327306211,0.0,6040
150,laser,Middle,12.71890172442659,34.59006123807132,3.528379994140298,2.652064652410849,6040
150,laser,End,12.70199229867738,34.59006322283609,3.523889784865227,3.645786789050728,6040
150,hold,Start,12.70199229867738,34.59006322283609,3.523889784865227,0.0,6040
150,hold,Middle,12.81181985601875,34.59006417043361,3.469633954461744,3.173914294726268,6040
150,hold,End,12.88096433952787,34.59006713042022,3.45866979407333,3.909021335417713,6040
150,cooling,Start,12.88096433952787,34.59006686757073,3.458670084547129,0.0,6040
150,cooling,Middle,12.98108153356772,34.59006482839444,3.453340179976561,2.21673484424075,6040
150,cooling,End,13.16490875606898,34.59006635693956,3.415808071320944,2.642041547421731,6040
200,equilibrium,Start,13.36983090574251,34.59006362715554,3.451756130085384,0.0,6040
200,equilibrium,Middle,12.44583961158547,34.5900673396953,3.590853072995145,3.167508290306379,6040
200,equilibrium,End,12.33149171270718,34.59006533400301,3.637194795747531,5.012269127657794,6040
200,bed,Start,12.33149171270718,34.59006540013393,3.637194804955634,0.0,6040
200,bed,Middle,12.50527373179307,34.59006516323456,3.613693903398627,3.012659023237904,6040
200,bed,End,12.62765779340365,34.59006304118534,3.547480325632011,4.305631993554329,6040
200,laser,Start,12.62765779340365,34.59006302109493,3.547480327306211,0.0,6040
200,laser,Middle,12.7123723422066,34.59006328561862,3.515872053406998,2.744786016675038,6040
200,laser,End,12.60003348401138,34.59006447764942,3.544920410179139,3.802323483676544,6040
200,hold,Start,12.60003348401138,34.59006443746861,3.544920412690441,0.0,6040
200,hold,Middle,12.6815670517328,34.59006313996316,3.517292203247949,3.463540556537753,6040
200,hold,End,12.68993805457894,34.59006538674033,3.540423042022435,4.324755789862715,6040
200,cooling,Start,12.68993805457894,34.59006539762264,3.540423040348233,0.0,6040
200,cooling,Middle,12.85501423070484,34.59006449522853,3.495440352419219,2.297948016156035,6040
200,cooling,End,13.08203582789218,34.59006017495397,3.483769671019588,2.787527944835091,6040
250,equilibrium,Start,13.36983090574251,34.59006362715554,3.451756130085384,0.0,6040
250,equilibrium,Middle,12.44583961158547,34.5900673396953,3.590853072995145,3.167508290306379,6040
250,equilibrium,End,12.33149171270718,34.59006533400301,3.637194795747531,5.012269127657794,6040
250,bed,Start,12.33149171270718,34.59006540013393,3.637194804955634,0.0,6040
250,bed,Middle,12.50527373179307,34.59006516323456,3.613693903398627,3.012659023237904,6040
250,bed,End,12.62765779340365,34.59006304118534,3.547480325632011,4.305631993554329,6040
250,laser,Start,12.62765779340365,34.59006302109493,3.547480327306211,0.0,6040
250,laser,Middle,12.63201071488364,34.59006663401976,3.524408574418215,2.822912008730956,6040
250,laser,End,12.43495730788548,34.59006310899046,3.550186705173279,4.256356918047882,6040
250,hold,Start,12.43495730788548,34.59006290473798,3.550186689268375,0.0,6040
250,hold,Middle,12.40800267872091,34.59006206596351,3.551196947095262,3.967290612204922,6040
250,hold,End,12.32948267202411,34.59006254897037,3.596567521346057,5.026033969529549,6040
250,cooling,Start,12.32948267202411,34.59006255566717,3.596567533902561,0.0,6040
250,cooling,Middle,12.66382052569898,34.59006539343713,3.516558256320107,2.658258856269881,6040
250,cooling,End,12.94508622132932,34.59006445923322,3.447199095931692,3.190248160463753,6040
300,equilibrium,Start,13.36983090574251,34.59006362715554,3.451756130085384,0.0,6040
300,equilibrium,Middle,12.44583961158547,34.5900673396953,3.590853072995145,3.167508290306379,6040
300,equilibrium,End,12.33149171270718,34.59006533400301,3.637194795747531,5.012269127657794,6040
300,bed,Start,12.33149171270718,34.59006540013393,3.637194804955634,0.0,6040
300,bed,Middle,12.50527373179307,34.59006516323456,3.613693903398627,3.012659023237904,6040
300,bed,End,12.62765779340365,34.59006304118534,3.547480325632011,4.305631993554329,6040
300,laser,Start,12.62765779340365,34.59006302109493,3.547480327306211,0.0,6040
300,laser,Middle,12.59802444332831,34.5900650200904,3.534738132429265,2.879800123974552,6040
300,laser,End,12.21898543445505,34.59006355516491,3.584525612757409,4.388164868826386,6040
300,hold,Start,12.21898543445505,34.59006353926,3.584525612757409,0.0,6040
300,hold,Middle,12.30001674200569,34.59006255901556,3.587591833249623,4.583336951079859,6040
300,hold,End,12.25799430771806,34.59006136363637,3.565238838104805,6.182116509459233,6040
300,cooling,Start,12.25799430771806,34.59006130336514,3.565238838104805,0.0,6040
300,cooling,Middle,12.399129415704,34.59006541603884,3.601630280428595,2.848588956805625,6040
300,cooling,End,12.80227691277415,34.59006192281936,3.534454364640884,3.611988082328813,6040
350,equilibrium,Start,13.36983090574251,34.59006362715554,3.451756130085384,0.0,6040
350,equilibrium,Middle,12.44583961158547,34.5900673396953,3.590853072995145,3.167508290306379,6040
350,equilibrium,End,12.33149171270718,34.59006533400301,3.637194795747531,5.012269127657794,6040
350,bed,Start,12.33149171270718,34.59006540013393,3.637194804955634,0.0,6040
350,bed,Middle,12.50527373179307,34.59006516323456,3.613693903398627,3.012659023237904,6040
350,bed,End,12.62765779340365,34.59006304118534,3.547480325632011,4.305631993554329,6040
350,laser,Start,12.62765779340365,34.59006302109493,3.547480327306211,0.0,6040
350,laser,Middle,12.53758580277917,34.59006210781852,3.559705769295162,2.914878637954127,6040
350,laser,End,12.17562363971204,34.59006811652436,3.605394658463084,4.651819649531224,6040
350,hold,Start,12.17562363971204,34.59006806964675,3.605394678553491,0.0,6040
350,hold,Middle,12.04101791394609,34.59006299012222,3.635011466599699,5.053231797421731,6040
350,hold,End,12.08253808806295,34.59006462330488,3.65321685334003,6.802223635442826,6040
350,cooling,Start,12.08253808806295,34.59006462330488,3.65321685334003,0.0,6040
350,cooling,Middle,12.30135610246107,34.59006163820526,3.611725737485351,3.08504807070149,6040
350,cooling,End,12.70684748032814,34.59006113259669,3.5644900008371,3.939548688849825,6040
100,equilibrium,Start,13.26554283946799,33.35066707469841,3.409694201979586,0.0,7030
100,equilibrium,Middle,12.42251778533869,33.35066662465202,3.525300653417878,2.675238033854005,7030
100,equilibrium,End,12.41679554593257,33.3506677567275,3.550253004948964,3.976363735926384,7030
100,bed,Start,12.41679554593257,33.35066778765852,3.550253004948964,0.0,7030
100,bed,Middle,12.58382307454377,33.35066545081967,3.504278898082276,2.442969537813177,7030
100,bed,End,12.6809464893288,33.35066469300959,3.488082394834519,3.303597585222704,7030
100,laser,Start,12.6809464893288,33.35066469300959,3.488082394834519,0.0,7030
100,laser,Middle,12.71187751314569,33.35066617847201,3.480010368852459,2.249584237921435,7030
100,laser,End,12.82477575007733,33.35066503866378,3.434674381379524,2.862462283799876,7030
100,hold,Start,12.82477575007733,33.35066503866378,3.434674381379524,0.0,7030
100,hold,Middle,12.91973399319517,33.35066605242809,3.433093657593567,2.610645740334055,7030
100,hold,End,12.94123105474791,33.3506688308073,3.397095910918651,3.368776196759975,7030
100,cooling,Start,12.94123105474791,33.3506688308073,3.397095910918651,0.0,7030
100,cooling,Middle,13.02768326631612,33.35066969842252,3.389808458088463,1.80092625241262,7030
100,cooling,End,13.10501082585834,33.35066908057532,3.39631398700897,2.20247745286112,7030
150,equilibrium,Start,13.26554283946799,33.35066707469841,3.409694201979586,0.0,7030
150,equilibrium,Middle,12.42251778533869,33.35066662465202,3.525300653417878,2.675238033854005,7030
150,equilibrium,End,12.41679554593257,33.3506677567275,3.550253004948964,3.976363735926384,7030
150,bed,Start,12.41679554593257,33.35066778765852,3.550253004948964,0.0,7030
150,bed,Middle,12.58382307454377,33.35066545081967,3.504278898082276,2.442969537813177,7030
150,bed,End,12.6809464893288,33.35066469300959,3.488082394834519,3.303597585222704,7030
