Composition,Temperature,Feature,Equilibrium,Bed,Laser,Hold,Cooling,Delta_Equilibrium_to_Bed,PctChange_Equilibrium_to_Bed,Delta_Bed_to_Laser,PctChange_Bed_to_Laser,Delta_Laser_to_Hold,PctChange_Laser_to_Hold,Delta_Hold_to_Cooling,PctChange_Hold_to_Cooling,Total_Change,Total_PctChange
5050,100,Max_CavityRadius,30.46,25.6269,22.4344,22.7393,22.6743,-4.833100000000002,-15.867038739330274,-3.192499999999999,-12.457612898946026,0.30489999999999995,1.359073565595692,-0.06500000000000128,-0.2858487288526968,-7.785700000000002,-25.56040709126724
5050,100,Median_CavityRadius,2.34313,2.7641400000000003,2.704805,2.4938700000000003,2.39264,0.42101000000000033,17.967846427641675,-0.05933500000000036,-2.1465989421664733,-0.21093499999999965,-7.798528914284011,-0.10123000000000015,-4.059153043262084,0.049510000000000165,2.112985621796493
5050,100,Mean_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,100,Std_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,100,Min_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,100,Max_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,100,Median_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,100,Mean_Temperature,276.768515,315.92312333333336,353.07880750000004,373.00572875,353.68184249999996,39.154608333333385,14.14706016446032,37.155684166666674,11.760989121224714,19.926921249999964,5.643760210671936,-19.323886250000044,-5.1805869885048095,76.91332749999998,27.78976774146437
5050,100,Std_Temperature,37.98302919494303,10.003918915790011,12.667894187999032,2.458524927919165,11.564993016269385,-27.97911027915302,-73.6621350960552,2.6639752722090204,26.629316917035865,-10.209369260079868,-80.59247344954731,9.10646808835022,370.4037321296437,-26.418036178673646,-69.55220986479635
5050,100,Min_Temperature,178.231,297.17,328.86,365.013,332.812,118.93900000000002,66.73305990540368,31.689999999999998,10.663929737187468,36.15299999999996,10.993431855500809,-32.200999999999965,-8.821877576963002,154.58100000000002,86.73070341298653
5050,100,Max_Temperature,308.46,334.988,376.514,379.889,376.188,26.52800000000002,8.60014264410297,41.52600000000001,12.396264940833705,3.375,0.8963810110646616,-3.701000000000022,-0.9742319467002261,67.72800000000001,21.956817739739353
5050,100,First_Temperature,178.231,302.466,335.006,370.632,369.43,124.23500000000001,69.70448462949768,32.539999999999964,10.758233983323732,35.62600000000003,10.634436398154074,-1.2019999999999982,-0.3243109067754533,191.199,107.27595087274382
5050,100,Last_Temperature,301.806,334.021,370.658,369.191,332.812,32.21500000000003,10.674075399428782,36.637,10.968472042176987,-1.4670000000000414,-0.3957826352055106,-36.37899999999996,-9.853707159708652,31.00600000000003,10.273486941942847
5050,100,Delta_Temperature,123.57499999999999,31.555000000000007,35.652000000000044,-1.441000000000031,-36.617999999999995,-92.01999999999998,-74.46489985838559,4.097000000000037,12.98367929012846,-37.093000000000075,-104.04184898462927,-35.176999999999964,-2441.1519777931444,-160.19299999999998,-129.63220716164273
5050,150,Mean_CN,13.518284993694829,12.306971716807782,12.443883984867592,12.565123401188975,12.908484957665285,-1.2113132768870472,-8.960554371002132,0.1369122680598096,1.1124773113179975,0.12123941632138369,0.9742891887196723,0.34336155647631017,2.7326556653141947,-0.6098000360295437,-4.5109275053304865
5050,150,Std_CN,3.2537324564755887,3.1517463610963654,3.153442213680948,3.1041497948872103,3.106827244353604,-0.10198609537922332,-3.1344339690944865,0.0016958525845827133,0.05380675950055812,-0.0492924187937378,-1.563130555552492,0.0026774494663937,0.08625387443620405,-0.1469052121219847,-4.514975158133038
5050,150,Min_CN,3.0,2.0,1.0,1.0,1.0,-1.0,-33.33333333333333,-1.0,-50.0,0.0,0.0,0.0,0.0,-2.0,-66.66666666666666
5050,150,Max_CN,24.0,24.0,23.0,24.0,23.0,0.0,0.0,-1.0,-4.166666666666666,1.0,4.3478260869565215,-1.0,-4.166666666666666,-1.0,-4.166666666666666
5050,150,Median_CN,14.0,12.0,12.0,13.0,13.0,-2.0,-14.285714285714285,0.0,0.0,1.0,8.333333333333332,0.0,0.0,-1.0,-7.142857142857142
5050,150,Mean_AtomicVolume,37.52112197622049,37.52112134119979,37.521119337957124,37.5211233156188,37.521125031525855,-6.350207044647505e-07,-1.6924352765016014e-06,-2.003242663306537e-06,-5.338973334751836e-06,3.977661677367905e-06,1.060112743849841e-05,1.7159070537786647e-06,4.573176126271223e-06,3.0553053633752825e-06,8.142894461715784e-06
5050,150,Std_AtomicVolume,146.94638951533193,127.77060530260859,131.90095699042945,132.43346590710493,142.54943115050833,-19.175784212723343,-13.049510284648811,4.130351687820863,3.2326306023507083,0.5325089166754822,0.4037187665849311,10.115965243403394,7.638526390677722,-4.396958364823604,-2.992219393294341
5050,150,Min_AtomicVolume,2.10642,2.28311,2.33716,2.42078,2.1982,0.17669000000000024,8.388165702946242,0.05404999999999971,2.367384839101038,0.08362000000000025,3.5778466172619874,-0.22258000000000022,-9.194557126215527,0.09177999999999997,4.357155742919264
5050,150,Max_AtomicVolume,2922.58,2766.72,3305.17,3011.52,3615.24,-155.86000000000013,-5.332959234648842,538.4500000000003,19.461673027989836,-293.6500000000001,-8.884565695561804,603.7199999999998,20.047019445329926,692.6599999999999,23.70029220757002
5050,150,Median_AtomicVolume,10.49175,12.3107,11.980699999999999,11.686350000000001,11.07235,1.818950000000001,17.33695522672577,-0.33000000000000185,-2.6805949296140907,-0.2943499999999979,-2.4568681295750494,-0.6140000000000008,-5.253992906253884,0.5806000000000004,5.533871851693002
5050,150,Mean_CavityRadius,3.569698453431814,3.769001420464782,3.7634378085029723,3.7303826265537743,3.656828662403171,0.1993029670329678,5.583187757536303,-0.005563611961809656,-0.14761501366384647,-0.03305518194919799,-0.8783241182972209,-0.07355396415060333,-1.971753879267726,0.08713020897135682,2.4408282690542706
5050,150,Std_CavityRadius,3.86405010735081,3.1759871164862106,3.0948384768259856,3.1487727295927974,3.2843902833300858,-0.6880629908645992,-17.80678230739442,-0.08114863966022501,-2.5550682885012685,0.05393425276681185,1.7427162409498642,0.13561755373728834,4.306997213953468,-0.579659824020724,-15.001353707034054
5050,150,Min_CavityRadius,1.45265,1.47107,1.42869,1.44858,1.45961,0.018420000000000103,1.2680273982032908,-0.042380000000000084,-2.880896218398858,0.019889999999999963,1.392184448690756,0.011030000000000095,0.761435336674543,0.006960000000000077,0.47912435893023625
5050,150,Max_CavityRadius,30.46,25.6269,22.4344,22.0764,21.9546,-4.833100000000002,-15.867038739330274,-3.192499999999999,-12.457612898946026,-0.35800000000000054,-1.5957636486823832,-0.12180000000000035,-0.551720389193892,-8.505400000000002,-27.923177938279714
5050,150,Median_CavityRadius,2.34313,2.7641400000000003,2.704805,2.58721,2.473505,0.42101000000000033,17.967846427641675,-0.05933500000000036,-2.1465989421664733,-0.11759500000000012,-4.347633193520425,-0.11370499999999995,-4.394888702501921,0.1303749999999999,5.5641385667888645
5050,150,Mean_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,150,Std_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,150,Min_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,150,Max_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5050,150,Median_Displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
